Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count,Zone
Ecom1,Delivered,2/1/2021,Rosenberg,TX,77471,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,OCALA,FL,34471-2658,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Virginia Beach,VA,23454,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Jamaica,NY,11435,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Reading,MA,1867,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,ARLINGTON HTS,IL,60004,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,ARLINGTON HTS,IL,60004,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,ARLINGTON HTS,IL,60004,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Beverly Shores,IN,46301,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Gretna,LA,70053,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Englewood,FL,34223,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Englewood,FL,34223,FEH,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Richmond,VA,23227,FEH,1/31/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Pasadena,CA,91106,FEH,1/31/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Owings Mills,MD,21117,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,WASHINGTON,DC,20010,FEH,1/31/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Bethesda,MD,20814,UPS,1/31/2021,39,12,
Ecom1,Delivered,2/1/2021,Phoenix,AZ,85015,FEH,1/31/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Lansing,MI,48915,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Arlington,VA,22201,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Washington,DC,20009,FEH,1/31/2021,24,7,
Ecom1,Delivered,2/1/2021,VERNON HILLS,IL,60061,FEH,1/31/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Addison,IL,60101,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Schenectady,NY,12303,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Colorado Springs,CO,80908,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Krum,TX,76249,FEH,1/31/2021,10.5,3,
Ecom1,In Transit,2/1/2021,Cheyenne,WY,82009,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Anaheim,CA,92806,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Solon,OH,44139,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,St. Louis,MO,63139,FEH,1/31/2021,20.2,6,
Ecom1,Delivered,2/1/2021,Chuluota,FL,32766,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Long Island City,NY,11101,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Dallas,TX,75204,FEH,1/31/2021,10.5,3,
Ecom1,In Transit,2/1/2021,CLERMONT,FL,34711-2435,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Lompoc,CA,93436,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Alexandria,VA,22314,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Falls Church,VA,22046,FEH,1/31/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Greenfield,IN,46140,FEH,1/31/2021,10.5,3,
