Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Winery3,In Transit,8/2/21,Olympia,WA,98501,UPS,8/2/21,3,1
Winery3,In Transit,8/2/21,Houston,TX,77010,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Denver,CO,802382933,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Morgan City,LA,70380,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Erieville,NY,13061,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Erieville,NY,13061,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Houston,TX,77005,UP2,8/2/21,18,6
Winery3,In Transit,8/2/21,Hoboken,NJ,7030,UP2,8/2/21,36,12
Winery3,In Transit,8/2/21,Lake Geneva,WI,53147,UP2,8/2/21,36,12
Ecom3,In Transit,8/2/21,Bridgeton,NJ,8302,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Sudbury,MA,1776,FEH,7/22/21,21.5,6
Ecom3,In Transit,8/2/21,Baton Rouge,LA,70809,FEX,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Granville,OH,43023,UPS,7/30/21,9.9,3
Ecom3,In Transit,8/2/21,Eatonton,GA,31024,UPS,7/28/21,21.5,6
Ecom3,In Transit,8/2/21,Bayonne,NJ,7002,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,New York,NY,10023,FEH,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Canton,MI,48188,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Morrisville,NC,27560,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Genoa City,WI,53128,UPS,7/30/21,39,12
Ecom3,In Transit,8/2/21,North Haledon,NJ,7508,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Arlington,VA,22204,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Stoughton,MA,2072,FEH,7/30/21,9.9,3
Ecom3,In Transit,8/2/21,Columbus,OH,43220,UPS,7/30/21,9.9,3
Ecom3,In Transit,8/2/21,Chicago,IL,60607,UPS,7/30/21,21.5,6
Ecom3,In Transit,8/2/21,Wichita,KS,67202,UPS,7/30/21,39,12
Ecom3,In Transit,8/2/21,Beverly,MA,1915,FEH,7/30/21,21.5,6
