Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom3,In Transit,4/2/20,Marco Island,FL,34145,UPS,4/1/20,21.5,6
Ecom3,Delivered,4/1/20,Dana Point,CA,92629,UPS,4/1/20,18.5,5
Ecom3,In Transit,4/2/20,Port Orange,FL,32127,UPS,4/2/20,9.9,3
Ecom3,Delivered,4/3/20,Glen Mills,PA,19342,UPS,4/2/20,41,12
Ecom3,Delivered,4/1/20,San Diego,CA,92130,UPS,4/1/20,21.5,6
Ecom3,In Transit,4/3/20,DUBLIN,OH,43017-8466,UPS,4/2/20,9.9,3
Ecom3,Delivered,4/1/20,Washington,DC,20001,UPS,4/1/20,3.35,1
Ecom3,In Transit,4/3/20,Miami,FL,33183,UPS,4/2/20,9.9,3
Ecom3,In Transit,4/1/20,Paramus,NJ,7652,UPS,3/28/20,21.5,6
Ecom3,In Transit,4/2/20,Birmingham,MI,48009,UPS,3/27/20,14,4
Ecom3,Delivered,4/1/20,NEW YORK,NY,10021-5135,FEH,3/31/20,21.5,6
Ecom3,Delivered,4/1/20,Oro Valley,AZ,85704,UPS,3/31/20,21.5,6
Ecom3,In Transit,4/3/20,Chicago,IL,60611,UPS,4/2/20,21.5,6
Ecom3,Delivered,4/2/20,Lake Como,NJ,7719,UPS,4/1/20,3.35,1
Ecom3,In Transit,4/1/20,Portsmouth,RI,2871,UPS,3/27/20,14,4
Ecom3,Delivered,4/1/20,Kansas City,MO,64111,FEH,3/25/20,9.9,3
Ecom3,In Transit,4/3/20,WHIPPANY,NJ,7981,UPS,4/1/20,21.5,6
Ecom3,In Transit,4/1/20,Muskegon,MI,49441,UPS,3/29/20,7,2
Ecom3,Carrier Exception,4/1/20,Augusta,GA,30909,UPS,3/31/20,41,12
Ecom3,Delivered,4/3/20,Riverside,CT,6878,UPS,4/2/20,14,4
Ecom3,In Transit,4/1/20,Buffalo,NY,14202,FXG,3/29/20,21.5,6
Ecom3,Delivered,4/1/20,Olathe,KS,66061,UPS,3/29/20,14,4
Ecom3,In Transit,4/3/20,Northville,MI,48167,UPS,4/2/20,3.35,1
Ecom3,In Transit,4/1/20,Golden,CO,80403,UPS,4/1/20,9.9,3
Ecom3,In Transit,4/3/20,Washington,DC,20011,UPS,4/1/20,9.9,3
Ecom3,In Transit,4/3/20,Springfield,IL,62711,UPS,4/2/20,7,2
Ecom3,Shipped,4/3/20,Watermill,NY,11976,FEH,4/2/20,18.5,5
Ecom3,In Transit,4/1/20,Verona,WI,53593,UPS,3/31/20,7,2
Ecom3,In Transit,4/1/20,omaha,NE,68144,FXG,3/29/20,14,4
Ecom3,In Transit,4/1/20,Hillside,IL,60162,UPS,3/28/20,14,4
Ecom3,Delivered,4/2/20,WESTFIELD,NJ,07090-2432,UPS,4/1/20,14,4
Ecom3,In Transit,4/1/20,Olathe,KS,66062,UPS,4/1/20,3.35,1
Ecom3,In Transit,4/3/20,Fort Wayne,IN,46845,UPS,4/3/20,29,8
