Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
Ecom1,Delivered,6/2/2020,Denver,CO,80220,FEH,6/1/2020,20.2,6
Ecom1,Delivered,6/2/2020,Baltimore,MD,21214,FEH,5/22/2020,39,12
Ecom1,Delivered,6/2/2020,Baltimore,MD,21214,FEH,5/22/2020,20.2,6
Ecom1,Delivered,6/3/2020,Temecula,CA,92591,FEH,5/27/2020,10.5,3
Ecom1,Delivered,6/3/2020,Highlands Ranch,CO,80130,FEH,5/27/2020,10.5,3
Ecom1,Delivered,6/3/2020,Fort Worth,TX,76177,FEH,5/27/2020,10.5,3
Ecom1,Delivered,6/3/2020,Sonora,CA,95370,FEH,5/27/2020,10.5,3
Ecom1,In Transit,6/3/2020,Dallas,TX,75254,FEH,5/27/2020,10.5,3
Ecom1,In Transit,6/3/2020,Plano,TX,75093,FEH,5/27/2020,10.5,3
Ecom1,In Transit,6/3/2020,Etoile,TX,75944,FEH,5/27/2020,20.2,6
Ecom1,Delivered,6/3/2020,Portland,OR,97233,FEH,5/27/2020,20.2,6
Ecom1,In Transit,6/3/2020,lincoln,NE,68526,FEH,5/27/2020,20.2,6
Ecom1,Delivered,6/3/2020,Englewood,CO,80112,FEH,5/27/2020,20.2,6
Ecom1,In Transit,6/3/2020,Allen,TX,75002,FEH,5/27/2020,20.2,6
Ecom1,Delivered,6/2/2020,Burbank,IL,60459,FEH,5/27/2020,39,12
Ecom1,Delivered,6/2/2020,Bronx,NY,10463,FEH,5/27/2020,33,10
Ecom1,Delivered,6/2/2020,Yaphank,NY,11980,FEH,5/27/2020,14,4
Ecom1,Delivered,6/3/2020,san diego,CA,92110,FEH,5/27/2020,20.2,6
Ecom1,Delivered,6/3/2020,Los Angeles,CA,90046,FEH,5/27/2020,20.2,6
Ecom1,In Transit,6/5/2020,Sewickley,PA,15143,FEH,5/28/2020,39,12
Ecom1,In Transit,6/5/2020,Sewickley,PA,15143,FEH,5/28/2020,14,4
Ecom1,In Transit,6/3/2020,Atlanta,GA,30306,FEH,5/28/2020,20.2,6
Ecom1,Shipped,6/2/2020,Tuscaloosa,AL,35405,LSO1,5/28/2020,20.2,6
Ecom1,In Transit,6/3/2020,Metairie,LA,70005,FEH,5/28/2020,20.2,6
Ecom1,Delivered,6/3/2020,Santa Cruz,CA,95062,FEH,5/28/2020,10,4
Ecom1,Delivered,6/5/2020,Columbus,OH,43201,FEH,6/4/2020,37,12
Ecom1,Delivered,6/5/2020,Columbus,OH,43201,FEH,6/4/2020,2,1
Ecom1,Delivered,6/3/2020,Martinez,CA,94553,FEH,5/29/2020,10,4
Ecom1,Delivered,6/3/2020,Dove Canyon,CA,92679,FEH,5/29/2020,10,4
Ecom1,Shipped,6/2/2020,Trussville,AL,35173,LSO1,5/29/2020,13.2,5
Ecom1,Delivered,6/1/2020,Las Cruces,NM,88001,FEH,5/29/2020,10.5,3
Ecom1,Delivered,6/1/2020,Sarasota,FL,34234,FEH,5/29/2020,39,12
Ecom1,Delivered,6/1/2020,Davis,CA,95618,FEH,5/29/2020,10.5,3
Ecom1,Delivered,6/1/2020,Forest Hills,NY,11375,FEH,5/29/2020,20.2,6
Ecom1,Delivered,6/1/2020,North Palm Beach,FL,33410,FEH,5/29/2020,10.5,3
Ecom1,Delivered,6/1/2020,Virginia Beach,VA,23454,FEH,5/29/2020,20.2,6
Ecom1,Delivered,6/1/2020,brooklyn,NY,11218,FXG,5/29/2020,10.5,3
Ecom1,Delivered,6/1/2020,Roxbury,MA,2119,FEH,5/29/2020,39,12
Ecom1,Delivered,6/1/2020,Austin,TX,78705,FEH,5/29/2020,39,12
Ecom1,Delivered,6/1/2020,Bedford,NY,10506,FEH,5/29/2020,20.2,6
Ecom1,Delivered,6/3/2020,Simi Valley,CA,93063,FEH,5/29/2020,20.2,6
Ecom1,In Transit,6/1/2020,San Francisco,CA,94115,FEH,5/31/2020,20.2,6
Ecom1,Delivered,6/3/2020,New York,NY,10016,FEH,5/31/2020,39,12
Ecom1,Delivered,6/1/2020,New York,NY,10036,FEH,5/31/2020,20.2,6
Ecom1,Delivered,6/1/2020,Santa Monica,CA,90402,FEH,5/31/2020,20.2,6
Ecom1,Delivered,6/1/2020,San Jose,CA,95124,FEH,5/31/2020,19.5,6
Ecom1,Delivered,6/1/2020,Portland,OR,97211,FEH,5/31/2020,13,4
Ecom1,Delivered,6/1/2020,Palo Alto,CA,94306,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Philadelphia,PA,19106,FEH,5/31/2020,19,6
Ecom1,Delivered,6/1/2020,Jersey City,NJ,7302,FEH,5/31/2020,10,4
Ecom1,Delivered,6/1/2020,Hillsboro,OR,97123,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Chicago,IL,60625,FEH,5/31/2020,39,12
Ecom1,Delivered,6/1/2020,New Cumberland,PA,17070,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Doylestown,PA,18902,FEH,5/31/2020,19.2,7
Ecom1,Delivered,6/1/2020,Austin,TX,78724,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,henderson,NV,89044,FEH,5/31/2020,10,3
Ecom1,Delivery Attempt,6/3/2020,Lake Oswego,OR,97035,FEH,5/31/2020,10,4
Ecom1,Delivered,6/1/2020,seattle,WA,98115,FEH,5/31/2020,20,6
Ecom1,Delivered,6/1/2020,Brooklyn,NY,11231,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Great Falls,VA,22066,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Chicago,IL,60657,FEH,5/31/2020,19,6
Ecom1,Delivered,6/1/2020,MONTICELLO,MN,55362,FXG,5/31/2020,19.5,6
Ecom1,Delivered,6/1/2020,EDGEWATER,MD,21037,FEH,5/31/2020,10,3
Ecom1,Delivered,6/1/2020,Chicago,IL,60661,FEH,5/31/2020,19.5,6
Ecom1,Delivered,6/1/2020,Watkins,CO,80137,FEH,5/31/2020,20.2,6
Ecom1,Delivered,6/1/2020,Wauwatosa,WI,53225,FEH,5/31/2020,10.5,3
Ecom1,Delivered,6/1/2020,Havertown,PA,19083,FEH,5/31/2020,10.5,3
