,Blue State,Total Item/Bottle Count_Blue,Red State,Total Item/Bottle Count_Red
0,Arizona,12787.0,Alabama,1751.0
1,California,141262.0,Alaska,1665.0
2,Colordao,20038.0,Arkansas,5111.0
3,Connecticut,14319.0,Florida,55780.0
4,District of Columbia,5585.0,Idaho,2456.0
5,Delaware,644.0,Indiana,10996.0
6,Georgia,22353.0,Iowa,3605.0
7,Hawaii,5517.0,Kansas,5949.0
8,Illinois,47148.0,Kentucky,52.0
9,Maine,2154.0,Louisiana,9000.0
10,Maryland,15462.0,Missouri,10167.0
11,Massachusetts,32779.0,Montana,1868.0
12,Michigan,26403.0,Nebraska,2956.0
13,Minnesota,10094.0,North Carolina,18817.0
14,Nevada,5816.0,North Dakota,1033.0
15,New Hampshire,4017.0,Ohio,22436.0
16,New Jersey,41505.0,Oklahoma,1927.0
17,New Mexico,3002.0,South Carolina,9457.0
18,New York,190449.0,South Dakota,2545.0
19,Oregon,6740.0,Tennessee,12090.0
20,Pennsylvania,58150.0,Texas,59999.0
21,Rhode Island,5216.0,West Virginia,1541.0
22,Vermont,1604.0,Wyoming,1411.0
23,Virginia,22536.0,,
24,Washington,12800.0,,
25,Wisconsin,10417.0,,
