,State,Total Item/Bottle Count
0,Alabama,1229.0
1,Alaska,2076.0
2,Arkansas,5121.0
3,Florida,79220.0
4,Idaho,3517.0
5,Indiana,15893.0
6,Iowa,5918.0
7,Kansas,7216.0
8,Kentucky,853.0
9,Louisiana,8914.0
10,Missouri,12324.0
11,Montana,3063.0
12,Nebraska,4781.0
13,North Carolina,29491.0
14,North Dakota,1793.0
15,Ohio,33250.0
16,Oklahoma,4705.0
17,South Carolina,15546.0
18,South Dakota,1899.0
19,Tennessee,19222.0
20,Texas,61779.0
21,West Virginia,2965.0
22,Wyoming,2006.0
