Company Name,Ship Date,City,State,Shipping Service,Created Date,Weight,Item/Bottle Count
1,43952.61865,462,19,9,43950.77137,39.0,12
1,43952.87147,2796,4,1,43950.89609,10.5,3
1,43952.61865,4313,32,1,43950.8961,10.5,3
1,43952.61865,2695,12,1,43950.89611,20.2,6
1,43952.61865,2597,40,1,43950.89615,10.5,3
1,43952.87148,4886,4,1,43951.43787,20.0,6
1,43952.87148,4423,30,1,43951.43787,10.0,3
1,43952.87147,4195,4,1,43951.43787,10.0,3
1,43952.87147,2380,35,1,43951.43789,13.0,4
1,43952.87146,4881,4,4,43951.52128,20.2,6
1,43952.87146,2046,3,1,43951.52135,39.0,12
1,43952.87147,4930,4,1,43951.72838,10.5,3
1,43952.87147,4572,44,1,43951.72843,39.0,12
1,43952.87147,6053,4,1,43951.72844,10.5,3
1,43952.87147,3112,4,1,43951.72847,39.0,12
1,43952.87147,4906,41,1,43951.72847,20.2,6
1,43952.87147,1121,4,1,43951.7285,39.0,12
1,43952.87147,240,5,4,43951.72852,33.0,10
1,43952.87147,1555,34,5,43951.72854,39.0,12
1,43952.87147,1197,4,1,43951.77109,20.2,6
1,43952.87147,6382,35,1,43951.89604,20.2,6
1,43952.87147,212,5,1,43951.89612,20.2,6
1,43952.87146,3112,4,1,43952.43791,10.5,3
1,43952.87146,4062,4,1,43952.43801,20.0,6
1,43952.87146,1265,41,1,43952.43801,10.0,3
1,43952.87146,208,35,1,43952.43813,20.0,6
1,43952.87146,23,4,1,43952.43815,20.0,6
1,43952.87146,1758,44,1,43952.43816,39.0,12
1,43952.87146,5602,27,4,43952.43817,10.0,3
1,43952.87146,2939,31,4,43952.43818,10.0,3
1,43952.87146,479,24,1,43952.43823,10.0,3
1,43952.87146,1340,41,1,43952.43828,10.0,3
1,43952.87146,6127,44,1,43952.43829,10.0,3
1,43952.87147,422,44,4,43952.43831,10.0,3
1,43952.87146,1963,41,4,43952.43832,10.0,3
1,43952.87146,6270,41,1,43952.43833,10.0,3
1,43952.87146,4426,35,1,43952.43836,10.0,3
1,43952.87146,4883,4,1,43952.43837,4.0,1
1,43952.87147,4982,4,1,43952.43845,10.0,3
1,43952.87147,3328,4,1,43952.43846,10.0,3
