,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom3,4/2/20,Marco Island,FL,34145,UPS,4/1/20,21.5,6.0
1,Ecom3,4/1/20,Dana Point,CA,92629,UPS,4/1/20,18.5,5.0
2,Ecom3,4/2/20,Port Orange,FL,32127,UPS,4/2/20,9.9,3.0
3,Ecom3,4/3/20,Glen Mills,PA,19342,UPS,4/2/20,41.0,12.0
4,Ecom3,4/1/20,San Diego,CA,92130,UPS,4/1/20,21.5,6.0
5,Ecom3,4/3/20,DUBLIN,OH,43017-8466,UPS,4/2/20,9.9,3.0
6,Ecom3,4/1/20,Washington,DC,20001,UPS,4/1/20,3.35,1.0
7,Ecom3,4/3/20,Miami,FL,33183,UPS,4/2/20,9.9,3.0
8,Ecom3,4/1/20,Paramus,NJ,7652,UPS,3/28/20,21.5,6.0
9,Ecom3,4/2/20,Birmingham,MI,48009,UPS,3/27/20,14.0,4.0
10,Ecom3,4/1/20,NEW YORK,NY,10021-5135,FEH,3/31/20,21.5,6.0
11,Ecom3,4/1/20,Oro Valley,AZ,85704,UPS,3/31/20,21.5,6.0
12,Ecom3,4/3/20,Chicago,IL,60611,UPS,4/2/20,21.5,6.0
13,Ecom3,4/2/20,Lake Como,NJ,7719,UPS,4/1/20,3.35,1.0
14,Ecom3,4/1/20,Portsmouth,RI,2871,UPS,3/27/20,14.0,4.0
15,Ecom3,4/1/20,Kansas City,MO,64111,FEH,3/25/20,9.9,3.0
16,Ecom3,4/3/20,WHIPPANY,NJ,7981,UPS,4/1/20,21.5,6.0
17,Ecom3,4/1/20,Muskegon,MI,49441,UPS,3/29/20,7.0,2.0
18,Ecom3,4/1/20,Augusta,GA,30909,UPS,3/31/20,41.0,12.0
19,Ecom3,4/3/20,Riverside,CT,6878,UPS,4/2/20,14.0,4.0
20,Ecom3,4/1/20,Buffalo,NY,14202,FXG,3/29/20,21.5,6.0
21,Ecom3,4/1/20,Olathe,KS,66061,UPS,3/29/20,14.0,4.0
22,Ecom3,4/3/20,Northville,MI,48167,UPS,4/2/20,3.35,1.0
23,Ecom3,4/1/20,Golden,CO,80403,UPS,4/1/20,9.9,3.0
24,Ecom3,4/3/20,Washington,DC,20011,UPS,4/1/20,9.9,3.0
25,Ecom3,4/3/20,Springfield,IL,62711,UPS,4/2/20,7.0,2.0
26,Ecom3,4/3/20,Watermill,NY,11976,FEH,4/2/20,18.5,5.0
