,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom3,3/4/20,Frisco,TX,75036,UPS,3/4/20,21.5,6.0
1,Ecom3,3/2/20,Montclair,NJ,7043,UPS,2/29/20,21.5,6.0
2,Ecom3,3/3/20,SILVER SPRING,MD,20901-3101,FEH,3/1/20,41.0,12.0
3,Ecom3,3/2/20,Montclair,NJ,7043,UPS,2/29/20,29.0,8.0
4,Ecom3,3/3/20,Spring Lake,MI,49456,UPS,3/3/20,7.0,2.0
5,Ecom3,3/2/20,MURRYSVILLE,PA,15668-1933,UPS,2/29/20,21.5,6.0
6,Ecom3,3/3/20,DALLAS,TX,75235-2010,UPS,3/3/20,35.0,10.0
7,Ecom3,3/2/20,New York,NY,10023,FEH,2/29/20,14.0,4.0
8,Ecom3,3/2/20,Manlius,NY,13104,FEH,2/29/20,21.5,6.0
9,Ecom3,3/3/20,Edgemont,PA,19028,UPS,2/29/20,14.0,4.0
10,Ecom3,3/2/20,Laytonsville,MD,20882,FEH,2/28/20,9.9,3.0
11,Ecom3,3/6/20,Santa Monica,CA,90403,UPS,3/6/20,21.5,6.0
12,Ecom3,3/2/20,Waukesha,WI,53188,UPS,3/2/20,21.5,6.0
13,Ecom3,3/4/20,Rumson,NJ,7760,UPS,3/4/20,41.0,12.0
14,Ecom3,3/4/20,Rumson,NJ,7760,UPS,3/4/20,41.0,12.0
15,Ecom3,3/4/20,Wilmington,NC,28401,UPS,3/3/20,29.0,8.0
16,Ecom3,3/2/20,Manhattan,NY,10003,FXG,2/29/20,41.0,12.0
17,Ecom3,3/2/20,Manhattan,NY,10003,FXG,2/29/20,7.0,2.0
18,Ecom3,3/2/20,Miami,FL,33156,UPS,2/29/20,21.5,6.0
19,Ecom3,3/2/20,SCOTTSDALE,AZ,85254,UPS,2/29/20,14.0,0.0
20,Ecom3,3/3/20,YERINGTON,NV,89447-2230,UPS,3/3/20,21.5,6.0
21,Ecom3,3/3/20,Richmond,TX,77406,UPS,3/2/20,14.0,4.0
22,Ecom3,3/4/20,Mankato,MN,56001,UPS,3/3/20,21.5,6.0
23,Ecom3,3/3/20,Philadelphia,PA,19103,UPS,3/2/20,21.5,6.0
24,Ecom3,3/4/20,norwalk,CT,6854,UPS,3/3/20,21.5,6.0
25,Ecom3,3/2/20,PITTSBURGH,PA,15232-1436,UPS,2/29/20,21.5,6.0
26,Ecom3,3/3/20,Boca Raton,FL,33432,UPS,3/2/20,21.5,6.0
27,Ecom3,3/5/20,JOHNS CREEK,GA,30022,UPS,3/5/20,32.0,9.0
28,Ecom3,3/2/20,Plymouth,CT,6782,UPS,3/2/20,9.9,3.0
29,Ecom3,3/2/20,Westlake Village,CA,91362,UPS,3/1/20,9.9,3.0
30,Ecom3,3/4/20,Watchung,NJ,7069,UPS,3/4/20,21.5,6.0
31,Ecom3,3/4/20,New York,NY,10065,FEH,3/3/20,7.0,2.0
32,Ecom3,3/4/20,Lititz,PA,17543,UPS,3/3/20,21.5,6.0
33,Ecom3,3/4/20,Fort Washington,PA,19034,UPS,3/4/20,21.5,6.0
34,Ecom3,3/4/20,Lexington,VA,24450,UPS,3/3/20,21.5,6.0
35,Ecom3,3/4/20,Tysons,VA,22102,UPS,3/3/20,21.5,6.0
36,Ecom3,3/2/20,Redwood City,CA,94061,UPS,2/29/20,21.5,6.0
37,Ecom3,3/3/20,Weston,CT,6883,UPS,3/1/20,3.35,1.0
38,Ecom3,3/4/20,Indianapolis,IN,46201,UPS,3/3/20,21.5,6.0
39,Ecom3,3/2/20,Ormond Beach,FL,32174,FEX,2/29/20,7.0,2.0
40,Ecom3,3/4/20,Berkeley Heights,NJ,7922,UPS,3/3/20,21.5,6.0
41,Ecom3,3/4/20,New York,NY,10016,FXG,2/28/20,9.9,3.0
42,Ecom3,3/4/20,SCOTTSDALE,AZ,85253,UPS,3/4/20,21.5,6.0
