,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom3,12/1/2020,Paoli,PA,19301,UPS,11/30/2020,21.5,6.0
1,Ecom3,12/4/2020,Deerfield,IL,60015,UPS,12/3/2020,26.0,7.0
2,Ecom3,12/2/2020,Lambertville,MI,48144,UPS,12/1/2020,21.5,6.0
3,Ecom3,12/1/2020,San Jose,CA,95125,UPS,11/28/2020,41.0,12.0
4,Ecom3,12/1/2020,Belton,SC,29627,UPS,11/29/2020,21.5,6.0
5,Ecom3,12/2/2020,Narragansett,RI,2882,UPS,12/2/2020,20.5,3.0
6,Ecom3,12/2/2020,Narragansett,RI,2882,UPS,12/2/2020,9.9,3.0
7,Ecom3,12/1/2020,Holmdel,NJ,7733,UPS,11/30/2020,21.5,6.0
8,Ecom3,12/2/2020,Bloomington,IN,47403,UPS,12/1/2020,21.5,6.0
9,Ecom3,12/3/2020,manalapan,NJ,7726,UPS,12/2/2020,14.0,4.0
10,Ecom3,12/4/2020,Paoli,PA,19301,UPS,12/3/2020,9.9,3.0
11,Ecom3,12/2/2020,NEW YORK,NY,10010,FEH,12/1/2020,18.5,5.0
12,Ecom3,12/2/2020,Los Altos,CA,94024,UPS,12/1/2020,21.5,6.0
13,Ecom3,12/1/2020,Rancho Viejo,TX,78575,UPS,11/29/2020,9.9,3.0
14,Ecom3,12/2/2020,Sacramento,CA,95821,UPS,12/2/2020,27.0,4.0
15,Ecom3,12/2/2020,Schofield,WI,54476,UPS,12/2/2020,9.9,3.0
16,Ecom3,12/1/2020,Milpitas,CA,95035,UPS,11/28/2020,18.5,5.0
17,Ecom3,12/4/2020,Durham,NC,27710,UPS,12/3/2020,21.5,6.0
18,Ecom3,12/1/2020,Houston,TX,77006,UPS,11/28/2020,41.0,12.0
19,Ecom3,12/1/2020,Midland,MI,48640,UPS,11/30/2020,41.0,12.0
20,Ecom3,12/2/2020,Costa Mesa,CA,92626,UPS,12/2/2020,27.0,4.0
21,Ecom3,12/3/2020,Costa Mesa,CA,92626,UPS,12/2/2020,13.5,2.0
22,Ecom3,12/1/2020,Coral Gables,FL,33134,UPS,11/30/2020,21.5,6.0
23,Ecom3,12/3/2020,Orono,MN,55391,UPS,12/2/2020,27.0,4.0
24,Ecom3,12/2/2020,Orono,MN,55391,UPS,12/2/2020,13.5,2.0
25,Ecom3,12/3/2020,Tyler,TX,75703,UPS,12/3/2020,21.5,6.0
26,Ecom3,12/3/2020,Waianae,HI,96792,UPS,12/2/2020,21.5,6.0
27,Ecom3,12/3/2020,Clayton,CA,94517,UPS,12/3/2020,21.5,6.0
28,Ecom3,12/1/2020,McLean,VA,22102,UPS,12/1/2020,21.5,6.0
29,Ecom3,12/1/2020,Walnut,CA,91789,UPS,12/1/2020,9.9,3.0
30,Ecom3,12/4/2020,Bethesda,MD,20817,FEH,12/4/2020,21.5,6.0
31,Ecom3,12/3/2020,Miami Beach,FL,33141,UPS,12/2/2020,27.0,4.0
32,Ecom3,12/2/2020,Miami Beach,FL,33141,UPS,12/2/2020,13.5,2.0
33,Ecom3,12/4/2020,Richfield,OH,44286,UPS,12/3/2020,9.9,3.0
34,Ecom3,12/1/2020,Honolulu,HI,96821,UPS,11/20/2020,21.5,6.0
35,Ecom3,12/1/2020,Hinsdale,IL,60521,UPS,12/1/2020,41.0,12.0
36,Ecom3,12/1/2020,Bloomington,IN,47401,UPS,11/30/2020,39.0,12.0
37,Ecom3,12/4/2020,Collegeville,PA,19426,UPS,12/3/2020,21.5,6.0
38,Ecom3,12/2/2020,Vienna,VA,22181,UPS,12/2/2020,14.0,4.0
39,Ecom3,12/2/2020,Vienna,VA,22181,UPS,12/2/2020,13.5,2.0
40,Ecom3,12/3/2020,Irmo,SC,29063,UPS,12/2/2020,41.0,12.0
41,Ecom3,12/4/2020,Anchorage,AK,99501,UPS,12/3/2020,21.5,6.0
42,Ecom3,12/1/2020,Rowland Heights,CA,91748,UPS,11/28/2020,21.5,6.0
43,Ecom3,12/3/2020,San Diego,CA,92102,UPS,12/2/2020,21.5,6.0
44,Ecom3,12/1/2020,Keller,TX,76262,UPS,11/30/2020,39.0,12.0
45,Ecom3,12/1/2020,Keller,TX,76262,UPS,11/30/2020,41.0,12.0
46,Ecom3,12/4/2020,Hurley,NY,12443,FEH,12/3/2020,21.5,6.0
47,Ecom3,12/1/2020,Denver,CO,80210,UPS,11/30/2020,21.5,6.0
48,Ecom3,12/1/2020,Highlands Ranch,CO,80126,UPS,11/29/2020,14.0,4.0
49,Ecom3,12/1/2020,Aventura,FL,33180,UPS,11/30/2020,21.5,6.0
50,Ecom3,12/2/2020,Cincinnati,OH,45242,UPS,12/2/2020,21.5,6.0
51,Ecom3,12/1/2020,Tampa,FL,33607,UPS,11/29/2020,21.5,6.0
52,Ecom3,12/3/2020,Nashville,TN,37215-5403,UPS,12/2/2020,21.5,6.0
53,Ecom3,12/1/2020,OREGON,WI,53575,UPS,11/28/2020,21.5,6.0
54,Ecom3,12/1/2020,Westbrook,ME,4092,UPS,11/30/2020,21.5,6.0
55,Ecom3,12/3/2020,Springdale,AR,72762-8943,UPS,12/2/2020,7.0,2.0
56,Ecom3,12/1/2020,Raymore,MO,64083,FEH,11/29/2020,21.5,6.0
57,Ecom3,12/1/2020,Tucson,AZ,85718,UPS,11/28/2020,21.5,6.0
58,Ecom3,12/4/2020,pittsburgh,PA,15238,UPS,12/3/2020,41.0,12.0
59,Ecom3,12/1/2020,Bedford,MA,1730,FEH,11/29/2020,21.5,6.0
60,Ecom3,12/4/2020,Hingham,MA,2043,FXG,12/3/2020,21.5,6.0
61,Ecom3,12/1/2020,Durango,CO,81301,UPS,11/29/2020,41.0,12.0
62,Ecom3,12/1/2020,Tucson,AZ,85748,UPS,11/28/2020,21.5,6.0
63,Ecom3,12/1/2020,Chelsea,MI,48118,UPS,11/30/2020,39.0,12.0
64,Ecom3,12/1/2020,Phoenix,AZ,85004,UPS,11/30/2020,21.5,6.0
65,Ecom3,12/1/2020,Boston,MA,2116,FEH,11/26/2020,29.0,8.0
66,Ecom3,12/1/2020,Denver,CO,80230,UPS,11/30/2020,21.5,6.0
67,Ecom3,12/1/2020,Centennial,CO,80016,UPS,12/1/2020,21.5,6.0
68,Ecom3,12/1/2020,Laguna Hills,CA,92653,UPS,11/29/2020,41.0,12.0
69,Ecom3,12/3/2020,Sea Girt,NJ,8750,UPS,12/2/2020,41.0,12.0
70,Ecom3,12/2/2020,Washington,DC,20011,UPS,12/2/2020,27.0,4.0
71,Ecom3,12/4/2020,New York,NY,10024,FEH,12/4/2020,9.9,3.0
72,Ecom3,12/1/2020,Englewood,CO,80113,UPS,11/28/2020,21.5,6.0
73,Ecom3,12/1/2020,Larchmont,NY,10538,FEH,11/30/2020,39.0,12.0
74,Ecom3,12/1/2020,Larchmont,NY,10538,FEH,11/30/2020,21.5,6.0
75,Ecom3,12/3/2020,Independence,MO,64055,FXG,12/2/2020,27.0,4.0
76,Ecom3,12/2/2020,Independence,MO,64055,FXG,12/2/2020,13.5,2.0
77,Ecom3,12/3/2020,Millerton,NY,12546,FEH,12/3/2020,21.5,6.0
78,Ecom3,12/1/2020,New Windsor,NY,12553,FEH,11/29/2020,21.5,6.0
79,Ecom3,12/4/2020,Swarthmore,PA,19081,UPS,12/4/2020,21.5,6.0
80,Ecom3,12/1/2020,Chanhassen,MN,55317,UPS,11/28/2020,21.5,6.0
81,Ecom3,12/4/2020,Bosto,MA,2134,FXG,12/4/2020,21.5,6.0
82,Ecom3,12/1/2020,Chesapeake,VA,23320,UPS,11/27/2020,21.5,6.0
83,Ecom3,12/2/2020,Cincinnati,OH,45215,UPS,12/2/2020,13.5,2.0
84,Ecom3,12/2/2020,Cincinnati,OH,45215,UPS,12/2/2020,7.0,2.0
85,Ecom3,12/4/2020,Kaneohe,HI,96744,UPS,12/4/2020,41.0,12.0
86,Ecom3,12/2/2020,Lake Worth,FL,33467,UPS,12/2/2020,21.5,6.0
87,Ecom3,12/2/2020,Chicago,IL,60619,UPS,12/2/2020,18.5,5.0
88,Ecom3,12/1/2020,Frisco,TX,75035,UPS,12/1/2020,39.0,12.0
89,Ecom3,12/4/2020,La Crescent,MN,55947,UPS,12/3/2020,41.0,12.0
90,Ecom3,12/4/2020,La Crescent,MN,55947,UPS,12/3/2020,41.0,12.0
91,Ecom3,12/2/2020,Goshen,CT,6756,UPS,12/2/2020,21.5,6.0
92,Ecom3,12/3/2020,Spring Lake,NJ,7762,UPS,12/2/2020,9.9,3.0
93,Ecom3,12/3/2020,Arroyo Grande,CA,93420,UPS,12/2/2020,27.0,4.0
94,Ecom3,12/2/2020,Arroyo Grande,CA,93420,UPS,12/2/2020,13.5,2.0
95,Ecom3,12/1/2020,Hampton,VA,23664,UPS,11/30/2020,21.5,6.0
96,Ecom3,12/2/2020,Chicago,IL,60614,UPS,12/1/2020,21.5,6.0
97,Ecom3,12/4/2020,Bluffton,SC,29909,UPS,12/3/2020,21.5,6.0
98,Ecom3,12/4/2020,Oradell,NJ,7649,UPS,12/4/2020,21.5,6.0
99,Ecom3,12/1/2020,Prescott,AZ,86303,UPS,11/27/2020,7.0,2.0
100,Ecom3,12/1/2020,Bethel,AK,99559,UPS,11/28/2020,39.0,12.0
101,Ecom3,12/1/2020,Cincinnati,OH,45255,UPS,12/1/2020,21.5,6.0
102,Ecom3,12/3/2020,Astoria,OR,97103,UPS,12/2/2020,21.5,6.0
103,Ecom3,12/1/2020,Dallas,TX,75209,UPS,11/29/2020,21.5,6.0
104,Ecom3,12/3/2020,Monte Sereno,CA,95030,UPS,11/30/2020,21.5,6.0
105,Ecom3,12/4/2020,LA CRESCENTA,CA,91214,UPS,12/4/2020,21.5,6.0
106,Ecom3,12/1/2020,GILBERT,AZ,85295,UPS,11/28/2020,18.5,5.0
107,Ecom3,12/4/2020,Tulsa,OK,74105,UPS,12/3/2020,21.5,6.0
108,Ecom3,12/1/2020,Chicago,IL,60661,UPS,12/1/2020,39.0,12.0
109,Ecom3,12/1/2020,Seattle,WA,98109,UPS,11/30/2020,33.0,10.0
110,Ecom3,12/3/2020,Pittsburgh,PA,15206,UPS,12/2/2020,41.0,12.0
