,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom3,2/5/20,Iowa City,IA,52242,FXG,2/5/20,21.5,6.0
1,Ecom3,2/6/20,MARLBORO,NJ,7746,UPS,2/6/20,41.0,12.0
2,Ecom3,2/6/20,MARLBORO,NJ,7746,UPS,2/6/20,21.5,6.0
3,Ecom3,2/4/20,Sacramento,CA,95818,UPS,2/4/20,14.0,4.0
4,Ecom3,2/5/20,Williamsburg,VA,23185,UPS,2/5/20,21.5,6.0
5,Ecom3,2/7/20,Rochester,MN,55902,UPS,2/6/20,21.5,6.0
6,Ecom3,2/3/20,Marina Del Rey,CA,90292,UPS,2/1/20,21.5,6.0
7,Ecom3,2/5/20,Jersey City,NJ,7302,UPS,2/2/20,41.0,12.0
8,Ecom3,2/5/20,Jersey City,NJ,7302,UPS,2/2/20,14.0,4.0
9,Ecom3,2/3/20,Sugar Land,TX,77479,UPS,2/2/20,14.0,4.0
10,Ecom3,2/3/20,PLAINVIEW,NY,11803,FEX,1/22/20,21.5,6.0
11,Ecom3,2/6/20,North Miami,FL,33181,UPS,2/6/20,21.5,6.0
12,Ecom3,2/3/20,Montebello,CA,90640,UPS,2/1/20,41.0,12.0
13,Ecom3,2/3/20,Palm Beach Gardens,FL,33410,UPS,2/2/20,21.5,6.0
14,Ecom3,2/6/20,Franklin,TN,37067,UPS,2/5/20,21.5,6.0
15,Ecom3,2/5/20,Arlington,VA,22205,UPS,1/31/20,21.5,6.0
16,Ecom3,2/3/20,MILL SPRING,NC,28756,UPS,1/5/20,21.5,6.0
17,Ecom3,2/3/20,COCOA,FL,32922,UPS,2/1/20,21.5,6.0
18,Ecom3,2/3/20,San Antonio,TX,78229,UPS,2/1/20,21.5,6.0
19,Ecom3,2/3/20,Fort Washington,MD,20744,FEH,2/1/20,21.5,6.0
20,Ecom3,2/7/20,Knoxville,TN,37918,UPS,2/6/20,41.0,12.0
21,Ecom3,2/3/20,San Jose,CA,95112-2130,UPS,2/2/20,14.0,4.0
22,Ecom3,2/3/20,Boston,MA,2109,FXG,2/2/20,41.0,12.0
23,Ecom3,2/5/20,Trumbull,CT,6611,UPS,2/2/20,21.5,6.0
24,Ecom3,2/5/20,Omaha,NE,68102,FEH,2/5/20,18.5,5.0
25,Ecom3,2/5/20,Fort Lauderdale,FL,33305,UPS,2/1/20,21.5,6.0
26,Ecom3,2/5/20,Hilo,HI,96720,UPS,2/4/20,21.5,6.0
27,Ecom3,2/7/20,Harrison City,PA,15636,UPS,2/7/20,18.5,5.0
28,Ecom3,2/3/20,TARZANA,CA,91356,UPS,2/2/20,21.5,6.0
29,Ecom3,2/5/20,Bluffton,SC,29910,UPS,2/5/20,21.5,6.0
30,Ecom3,2/3/20,BROOKLYN,NY,11238,FXG,2/1/20,14.0,4.0
31,Ecom3,2/6/20,Bay Shore,NY,11706,FEH,2/6/20,21.5,6.0
32,Ecom3,2/6/20,Miami Beach,FL,33139,UPS,2/5/20,21.5,6.0
33,Ecom3,2/4/20,Nashville,TN,37205,UPS,2/4/20,9.9,3.0
34,Ecom3,2/3/20,Basking Ridge,NJ,7920,UPS,1/31/20,21.5,6.0
35,Ecom3,2/6/20,Boulder,CO,80301,UPS,2/6/20,21.5,6.0
36,Ecom3,2/3/20,Fort Worth,TX,76179,UPS,2/2/20,32.0,9.0
37,Ecom3,2/3/20,BOZEMAN,MT,59718,UPS,2/1/20,21.5,6.0
38,Ecom3,2/3/20,Fresno,CA,93704,UPS,2/2/20,14.0,4.0
39,Ecom3,2/7/20,Saratoga Springs,NY,12866,FEH,2/6/20,21.5,6.0
40,Ecom3,2/4/20,Gold Canyon,AZ,85118,UPS,2/4/20,21.5,6.0
41,Ecom3,2/3/20,Brooklyn,NY,11249,FEH,2/2/20,41.0,12.0
42,Ecom3,2/3/20,Honolulu,HI,96818,UPS,2/2/20,7.0,2.0
43,Ecom3,2/3/20,Norwell,MA,2061,FEH,1/31/20,21.5,6.0
44,Ecom3,2/4/20,Cornelius,OR,97113,UPS,2/4/20,21.5,6.0
45,Ecom3,2/5/20,Oakland,CA,94607,UPS,2/5/20,21.5,6.0
46,Ecom3,2/4/20,Minneapolis,MN,55405,UPS,2/3/20,7.0,2.0
47,Ecom3,2/3/20,St. Louis,MO,63135-3008,FXG,2/2/20,21.5,6.0
48,Ecom3,2/3/20,Austin,TX,78727,UPS,2/2/20,21.5,6.0
49,Ecom3,2/3/20,fort myers,FL,33912,UPS,2/3/20,3.35,1.0
50,Ecom3,2/4/20,Fort Myers,FL,33908,UPS,2/3/20,21.5,6.0
51,Ecom3,2/3/20,East Lansing,MI,48823,UPS,1/31/20,9.9,3.0
52,Ecom3,2/6/20,Boston,MA,2127,FEH,2/6/20,7.0,2.0
53,Ecom3,2/3/20,Vero Beach,FL,32963,UPS,2/1/20,21.5,6.0
54,Ecom3,2/5/20,Mount Kisco,NY,10549,FEH,2/5/20,7.0,2.0
55,Ecom3,2/3/20,Dana Point,CA,92629,UPS,2/2/20,21.5,6.0
56,Ecom3,2/3/20,Brooklyn,NY,11234,FEH,1/31/20,21.5,6.0
57,Ecom3,2/5/20,Metairie,LA,70005,UPS,2/3/20,21.5,6.0
58,Ecom3,2/5/20,Leesburg,VA,20176,UPS,1/31/20,21.5,6.0
59,Ecom3,2/3/20,Marco Island,FL,34145,UPS,1/31/20,9.9,3.0
60,Ecom3,2/3/20,Fairfield,CA,94533,UPS,2/2/20,41.0,12.0
61,Ecom3,2/3/20,Discovery Bay,CA,94505,UPS,2/2/20,21.5,6.0
62,Ecom3,2/3/20,San Francisco,CA,94115,UPS,2/1/20,14.0,4.0
63,Ecom3,2/3/20,CAMANO ISLAND,WA,98282,UPS,2/3/20,14.0,4.0
