,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Ecom1,9/1/2020,Seattle,WA,98115,FEH,8/25/2020,20.2,6.0
1,Ecom1,9/1/2020,Rochester,NY,14610,FEH,8/28/2020,20.2,6.0
2,Ecom1,9/1/2020,Chicago,IL,60625,FEH,8/28/2020,20.2,6.0
3,Ecom1,9/1/2020,Paradise Valley,AZ,85253,FEH,8/28/2020,10.5,3.0
4,Ecom1,9/1/2020,Jersey City,NJ,7302,FEH,8/28/2020,20.2,6.0
5,Ecom1,9/1/2020,Los Angeles,CA,90094,FEH,8/28/2020,20.2,6.0
6,Ecom1,9/1/2020,Fountain Valley,CA,92708,FEH,8/28/2020,20.2,6.0
7,Ecom1,9/1/2020,Los Angeles,CA,90045,FEH,8/28/2020,20.2,6.0
8,Ecom1,9/1/2020,Los Angeles,CA,90018,FEH,8/28/2020,20.2,6.0
9,Ecom1,9/1/2020,katy,TX,77493,FEH,8/28/2020,20.2,6.0
10,Ecom1,9/1/2020,Grand Prairie,TX,75052,FEH,8/28/2020,20.2,6.0
11,Ecom1,9/1/2020,San Lorenzo,CA,94580,FEH,8/28/2020,24.0,7.0
12,Ecom1,9/3/2020,Leetsdale,PA,15056,FEH,8/28/2020,39.0,12.0
13,Ecom1,9/1/2020,San Pablo,CA,94806,FEH,8/30/2020,20.2,6.0
14,Ecom1,9/1/2020,Far Hills,NJ,7931,FEH,8/30/2020,20.2,6.0
15,Ecom1,9/1/2020,Moreland Hills,OH,44022,FXG,8/30/2020,20.2,6.0
16,Ecom1,9/1/2020,San Diego,CA,92116,FEH,8/30/2020,20.2,6.0
17,Ecom1,9/1/2020,Seattle,WA,98178,FEH,8/30/2020,10.5,3.0
18,Ecom1,9/2/2020,Murrysville,PA,15668,FEH,8/30/2020,14.0,4.0
19,Ecom1,9/2/2020,Far Rockaway,NY,11691,FEH,8/30/2020,9.5,4.0
20,Ecom1,9/1/2020,San Jose,CA,95124,FEH,8/30/2020,20.2,6.0
21,Ecom1,9/1/2020,Los Angeles,CA,90029,FEH,8/30/2020,20.2,6.0
