,Company Name,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count
0,Winery3,8/2/2021,Olympia,WA,98501,UPS,8/2/2021,3.0,1.0
1,Winery3,8/2/2021,Houston,TX,77010,UP2,8/2/2021,36.0,12.0
2,Winery3,8/2/2021,Denver,CO,802382933,UP2,8/2/2021,36.0,12.0
3,Winery3,8/2/2021,Morgan City,LA,70380,UP2,8/2/2021,36.0,12.0
4,Winery3,8/2/2021,Erieville,NY,13061,UP2,8/2/2021,36.0,12.0
5,Winery3,8/2/2021,Erieville,NY,13061,UP2,8/2/2021,36.0,12.0
6,Winery3,8/2/2021,Houston,TX,77005,UP2,8/2/2021,18.0,6.0
7,Winery3,8/2/2021,Hoboken,NJ,7030,UP2,8/2/2021,36.0,12.0
8,Winery3,8/2/2021,Lake Geneva,WI,53147,UP2,8/2/2021,36.0,12.0
9,Ecom3,8/2/2021,Bridgeton,NJ,8302,UPS,7/30/2021,21.5,6.0
10,Ecom3,8/2/2021,Sudbury,MA,1776,FEH,7/22/2021,21.5,6.0
11,Ecom3,8/2/2021,Baton Rouge,LA,70809,FEX,7/30/2021,21.5,6.0
12,Ecom3,8/2/2021,Granville,OH,43023,UPS,7/30/2021,9.9,3.0
13,Ecom3,8/2/2021,Eatonton,GA,31024,UPS,7/28/2021,21.5,6.0
14,Ecom3,8/2/2021,Bayonne,NJ,7002,UPS,7/30/2021,21.5,6.0
15,Ecom3,8/2/2021,New York,NY,10023,FEH,7/30/2021,21.5,6.0
16,Ecom3,8/2/2021,Canton,MI,48188,UPS,7/30/2021,21.5,6.0
17,Ecom3,8/2/2021,Morrisville,NC,27560,UPS,7/30/2021,21.5,6.0
18,Ecom3,8/2/2021,Genoa City,WI,53128,UPS,7/30/2021,39.0,12.0
19,Ecom3,8/2/2021,North Haledon,NJ,7508,UPS,7/30/2021,21.5,6.0
20,Ecom3,8/2/2021,Arlington,VA,22204,UPS,7/30/2021,21.5,6.0
21,Ecom3,8/2/2021,Stoughton,MA,2072,FEH,7/30/2021,9.9,3.0
22,Ecom3,8/2/2021,Columbus,OH,43220,UPS,7/30/2021,9.9,3.0
23,Ecom3,8/2/2021,Chicago,IL,60607,UPS,7/30/2021,21.5,6.0
24,Ecom3,8/2/2021,Wichita,KS,67202,UPS,7/30/2021,39.0,12.0
25,Ecom3,8/2/2021,Beverly,MA,1915,FEH,7/30/2021,21.5,6.0
26,Ecom3,8/2/2021,Baltimore,MD,21202,FEH,7/30/2021,41.0,12.0
27,Ecom3,8/2/2021,Ada,MI,49301,UPS,7/30/2021,21.5,6.0
28,Ecom3,8/2/2021,Bradenton,FL,34211,UPS,7/31/2021,21.5,6.0
29,Ecom3,8/2/2021,Doylestown,PA,18902,UPS,7/30/2021,21.5,6.0
30,Ecom3,8/2/2021,DEMAREST,NJ,7627,UPS,7/30/2021,18.5,5.0
31,Ecom3,8/2/2021,Gainesville,FL,32608,UPS,7/30/2021,33.0,10.0
32,Ecom3,8/2/2021,mclean,VA,22101,UPS,7/30/2021,21.5,6.0
33,Ecom3,8/2/2021,Shawnee,KS,66217,UPS,7/30/2021,21.5,6.0
34,Ecom3,8/2/2021,Warrenton,NC,27589,UPS,7/30/2021,27.0,8.0
35,Ecom3,8/2/2021,Sunny Isles Beach,FL,33160,UPS,7/31/2021,21.5,6.0
36,Ecom3,8/2/2021,Minneapolis,MN,55439,UPS,7/30/2021,14.0,4.0
37,Ecom3,8/2/2021,Wenham,MA,1984,FEH,7/30/2021,21.5,6.0
38,Ecom3,8/2/2021,Rutherford,NJ,7070,UPS,7/30/2021,21.5,6.0
39,Ecom3,8/2/2021,Olathe,KS,66061,UPS,7/30/2021,9.9,3.0
40,Ecom3,8/2/2021,Midlothian,VA,23113,UPS,7/30/2021,7.0,2.0
41,Ecom3,8/2/2021,Hingham,MA,2043,FEH,7/30/2021,9.9,3.0
42,Ecom3,8/2/2021,Castle Hayne,NC,28429,UPS,7/30/2021,7.0,2.0
43,Ecom3,8/2/2021,Manteo,NC,27954,UPS,7/30/2021,21.5,6.0
44,Ecom3,8/2/2021,Long Island City,NY,11101,FEH,7/30/2021,7.0,2.0
45,Ecom3,8/2/2021,Wake Forest,NC,27587,UPS,7/30/2021,21.5,6.0
46,Ecom3,8/2/2021,New York,NY,10022,FEH,7/30/2021,18.5,5.0
47,Ecom3,8/2/2021,State College,PA,16801,UPS,7/31/2021,21.5,6.0
48,Ecom3,8/2/2021,Naples,FL,34119,UPS,7/31/2021,21.5,6.0
49,Ecom3,8/2/2021,Kennesaw,GA,30152,UPS,7/31/2021,21.5,6.0
50,Ecom3,8/2/2021,Akron,OH,44333,UPS,7/31/2021,21.5,6.0
51,Ecom3,8/2/2021,Chestnut Hill,MA,2467,FEH,7/31/2021,21.5,6.0
52,Ecom3,8/2/2021,Chicago,IL,60618,UPS,7/31/2021,39.0,12.0
53,Ecom3,8/2/2021,MIAMI,FL,33196,UPS,7/31/2021,21.5,6.0
54,Ecom3,8/2/2021,Milton,GA,30004,UPS,7/31/2021,14.0,4.0
55,Ecom3,8/2/2021,New York,NY,10075,FEH,7/31/2021,21.5,6.0
56,Ecom3,8/2/2021,Lavallette,NJ,8735,UPS,7/31/2021,21.5,6.0
57,Ecom3,8/2/2021,Long Beach,NY,11561,FEH,7/31/2021,21.5,6.0
58,Ecom3,8/2/2021,Beaver,PA,15009,UPS,7/31/2021,41.0,12.0
59,Ecom3,8/2/2021,Charlotte,NC,28207,UPS,7/31/2021,21.5,6.0
60,Ecom3,8/2/2021,Harrisburg,PA,17110,UPS,7/31/2021,21.5,6.0
61,Ecom3,8/2/2021,North Caldwell,NJ,7006,UPS,7/31/2021,21.5,6.0
62,Ecom3,8/2/2021,Herndon,VA,20171,UPS,7/31/2021,41.0,12.0
63,Ecom3,8/2/2021,Northbrook,IL,60062,UPS,7/31/2021,21.5,6.0
64,Ecom3,8/2/2021,Boston,MA,2131,FEH,7/31/2021,21.5,6.0
65,Ecom3,8/2/2021,Alexandria,VA,22307,UPS,7/31/2021,21.5,6.0
66,Ecom3,8/2/2021,Greer,SC,29650,UPS,7/31/2021,21.5,6.0
67,Ecom3,8/2/2021,Matthews,NC,28104,UPS,7/31/2021,21.5,6.0
68,Ecom3,8/2/2021,MASSAPEQUA,NY,11758,FXG,7/31/2021,21.5,6.0
69,Ecom3,8/2/2021,Saint John,IN,46373,UPS,7/31/2021,41.0,12.0
70,Ecom3,8/2/2021,Hingham,MA,2043,FEH,7/31/2021,21.5,6.0
71,Ecom3,8/2/2021,Atlanta,GA,30318,UPS,7/31/2021,39.0,12.0
72,Ecom3,8/2/2021,Atlanta,GA,30318,UPS,7/31/2021,41.0,12.0
73,Ecom3,8/2/2021,Livingston,NJ,7039,UPS,7/31/2021,21.5,6.0
74,Ecom3,8/2/2021,Kennesaw,GA,30152,UPS,7/31/2021,39.0,12.0
75,Ecom3,8/2/2021,Spring Lake,MI,49456,UPS,7/31/2021,39.0,12.0
76,Ecom3,8/2/2021,Key Biscayne,FL,33149,UPS,7/31/2021,39.0,12.0
77,Ecom3,8/2/2021,Washington,DC,20015,UPS,7/31/2021,18.5,5.0
78,Ecom3,8/2/2021,Arlington,VA,22207,UPS,7/31/2021,39.0,12.0
79,Ecom3,8/2/2021,Athens,OH,45701,UPS,7/31/2021,21.5,6.0
80,Ecom3,8/2/2021,Halesite,NY,11743,FEH,7/31/2021,39.0,12.0
81,Ecom3,8/2/2021,New York,NY,10016,FEH,7/31/2021,21.5,6.0
82,Ecom3,8/2/2021,Hialeah,FL,33015,UPS,7/31/2021,24.0,7.0
83,Ecom3,8/2/2021,Panama City Beach,FL,32413,UPS,7/31/2021,21.5,6.0
84,Ecom3,8/2/2021,Bay Harbor Islands,FL,33154,UPS,7/31/2021,21.5,6.0
85,Ecom3,8/2/2021,Seminole,FL,33772,UPS,7/31/2021,21.5,6.0
86,Ecom3,8/2/2021,Orangeburg,NY,10962,FEH,7/31/2021,39.0,12.0
87,Ecom3,8/2/2021,Miami,FL,33131,UPS,7/31/2021,39.0,12.0
88,Ecom3,8/2/2021,Nolensville,TN,37135,UPS,7/31/2021,21.5,6.0
89,Ecom3,8/2/2021,Powell,OH,43065,UPS,7/31/2021,21.5,6.0
90,Ecom3,8/2/2021,Lake Forest,IL,60045,UPS,7/31/2021,9.9,3.0
91,Ecom3,8/2/2021,New York,NY,10128,FEH,7/31/2021,33.0,10.0
92,Ecom3,8/2/2021,Franklin,IN,46131,UPS,7/31/2021,39.0,12.0
93,Ecom3,8/2/2021,Rocky Mount,NC,27803,UPS,7/31/2021,21.5,6.0
94,Ecom3,8/2/2021,Netcong,NJ,7857,UPS,7/31/2021,41.0,12.0
95,Ecom3,8/2/2021,Tampa,FL,33626,UPS,7/31/2021,21.5,6.0
96,Ecom3,8/2/2021,Madisonville,LA,70447,UPS,7/31/2021,21.5,6.0
97,Ecom3,8/2/2021,Milford,CT,6460,UPS,7/31/2021,7.0,2.0
98,Ecom3,8/2/2021,Dedham,MA,2026,FEH,7/31/2021,41.0,12.0
99,Ecom3,8/2/2021,Venice,FL,34293,UPS,7/31/2021,21.5,6.0
100,Ecom3,8/2/2021,Pittsburgh,PA,15220,UPS,7/31/2021,41.0,12.0
101,Ecom3,8/2/2021,Akron,OH,44310,UPS,7/31/2021,35.0,10.0
102,Ecom3,8/2/2021,Alexandria,VA,22305,UPS,7/31/2021,41.0,12.0
103,Ecom3,8/2/2021,Springdale,AR,72762,UPS,7/31/2021,39.0,12.0
104,Ecom3,8/2/2021,Saint Augustine,FL,32092,UPS,7/31/2021,21.5,6.0
105,Ecom3,8/2/2021,Siesta Key,FL,34242,UPS,7/31/2021,39.0,12.0
106,Ecom3,8/2/2021,New City,NY,10956,FEH,7/31/2021,21.5,6.0
107,Ecom3,8/2/2021,Quaker Hill,CT,6375,UPS,7/31/2021,21.5,6.0
108,Ecom3,8/2/2021,Maplewood,NJ,7040,UPS,7/31/2021,29.0,8.0
109,Ecom3,8/2/2021,Baldwin,MD,21013,FEH,7/31/2021,41.0,12.0
110,Ecom3,8/2/2021,Tenafly,NJ,7670,UPS,7/31/2021,39.0,12.0
111,Ecom3,8/2/2021,Tenafly,NJ,7670,UPS,7/31/2021,39.0,12.0
112,Ecom3,8/2/2021,Chevy Chase,MD,20815,FEH,7/31/2021,21.5,6.0
113,Ecom3,8/2/2021,Staten Island,NY,10314,FEH,7/31/2021,39.0,12.0
114,Ecom3,8/2/2021,Wynnewood,PA,19096,UPS,7/31/2021,21.5,6.0
115,Ecom3,8/2/2021,Oakmont,PA,15139,UPS,7/31/2021,39.0,12.0
116,Ecom3,8/2/2021,Atlantic highlands,NJ,7716,UPS,7/31/2021,21.5,6.0
117,Ecom3,8/2/2021,New Albany,OH,43054,UPS,7/31/2021,21.5,6.0
118,Ecom3,8/2/2021,Sunset,SC,29685,UPS,7/31/2021,21.5,6.0
119,Ecom3,8/2/2021,Avon,IN,46123,UPS,7/31/2021,21.5,6.0
120,Ecom3,8/2/2021,Chevy Chase,MD,20815,FEH,7/31/2021,21.5,6.0
121,Ecom3,8/2/2021,Alexandria,VA,22305,UPS,7/31/2021,41.0,12.0
122,Ecom3,8/2/2021,Columbus,OH,43215,UPS,7/31/2021,14.0,4.0
123,Ecom3,8/2/2021,Tampa,FL,33618,UPS,7/31/2021,21.5,6.0
124,Ecom3,8/2/2021,Fort Dodge,IA,50501,FEH,7/31/2021,21.5,6.0
125,Ecom3,8/2/2021,Somerville,MA,2145,FEH,7/31/2021,21.5,6.0
126,Ecom3,8/2/2021,Miami Beach,FL,33139,UPS,7/31/2021,41.0,12.0
127,Ecom3,8/2/2021,Miami Beach,FL,33139,UPS,7/31/2021,39.0,12.0
